CURSO;CÓDIGO DE TURMA;TURMA;TEORIA;PRÁTICA;Campus;turno;t-p-i;TOTAL DE VAGAS;SALDO DE VAGAS PARA O AJUSTE;DOCENTE TEORIA;DOCENTE PRÁTICA
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA2MCTA003-17SA;Análise de Algoritmos A2-diurno (Santo André);"terça das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal";;SA;diurno;4-0-4;60;14;Maycon Sambinelli;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA007-17SA;Compiladores A1-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal I";quinta das 19:00 às 21:00, quinzenal II;SA;noturno;3-1-4;60;14;Alexandre Donizeti Alves;Alexandre Donizeti Alves
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DBMCZA032-17SA;Introdução à Programação de Jogos B- diurno (Santo André);terça das 16:00 às 18:00, semanal;quinta das 14:00 às 16:00, semanal;SA;diurno;2-2-4;60;60;Harlen Costa Batagelo;Harlen Costa Batagelo
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DA1MCZA014-17SA;Métodos de Otimização A1-diurno (Santo André);"quarta das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal";;SA;diurno;4-0-4;60;42;Aritanan Borges Garcia Gruber;0
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NA1MCTA025-13SA;Sistemas Distribuídos A1-noturno (Santo André);"segunda das 19:00 às 21:00, quinzenal I; quinta das 21:00 às 23:00, semanal";segunda das 19:00 às 21:00, quinzenal II;SA;noturno;3-1-4;60;7;Gustavo Sousa Pavani;Gustavo Sousa Pavani
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BIR0004-15SA;Bases Epistemológicas da Ciência Moderna B3-diurno (Santo André);"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, quinzenal I";;SA;diurno;3-0-4;45;3;William Jose Steinle;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BIQ0602-15SB;Estrutura e Dinâmica Social A2-diurno (São Bernardo do Campo);"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, quinzenal I";;SB;diurno;3-0-4;56;8;Paulo Sergio Da Costa Neves;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA11BCJ0205-15SA;Fenômenos Térmicos A1-diurno (Santo André);"quarta das 10:00 às 12:00, semanal ; sexta das 10:00 às 12:00, quinzenal I";sexta das 08:00 às 10:00, quinzenal I;SA;diurno;3-1-4;40;4;Denise Criado Pereira De Souza;Denise Criado Pereira De Souza
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA12BCJ0205-15SA;Fenômenos Térmicos A1-diurno (Santo André);"quarta das 10:00 às 12:00, semanal ; sexta das 10:00 às 12:00, quinzenal I";sexta das 08:00 às 10:00, quinzenal II;SA;diurno;3-1-4;40;2;Denise Criado Pereira De Souza;Denise Criado Pereira De Souza
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA5BCJ0205-15SA;Fenômenos Térmicos A5-noturno (Santo André);"quarta das 21:00 às 23:00, semanal ; sexta das 21:00 às 23:00, quinzenal I";sexta das 19:00 às 21:00, quinzenal I;SA;noturno;3-1-4;40;2;Paramita Barai;Paramita Barai
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA6BCJ0205-15SA;Fenômenos Térmicos A6-noturno (Santo André);"quarta das 21:00 às 23:00, semanal ; sexta das 21:00 às 23:00, quinzenal I";sexta das 19:00 às 21:00, quinzenal II;SA;noturno;3-1-4;40;1;Paramita Barai;Paramita Barai
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA9BCJ0205-15SA;Fenômenos Térmicos A9-noturno (Santo André);"quarta das 21:00 às 23:00, semanal ; sexta das 21:00 às 23:00, quinzenal I";sexta das 19:00 às 21:00, quinzenal I;SA;noturno;3-1-4;40;4;Ricardo Rocamora Paszko;Ricardo Rocamora Paszko
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB12BCJ0205-15SA;Fenômenos Térmicos B1-diurno (Santo André);"quarta das 08:00 às 10:00, semanal ; sexta das 08:00 às 10:00, quinzenal I";sexta das 10:00 às 12:00, quinzenal II;SA;diurno;3-1-4;40;1;Julian Andres Munevar Cagigas;Julian Andres Munevar Cagigas
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB10BCJ0205-15SA;Fenômenos Térmicos B1-noturno (Santo André);"quarta das 19:00 às 21:00, semanal ; sexta das 19:00 às 21:00, quinzenal I";sexta das 21:00 às 23:00, quinzenal II;SA;noturno;3-1-4;40;3;Regina Keiko Murakami;Regina Keiko Murakami
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BCJ0205-15SA;Fenômenos Térmicos B2-diurno (Santo André);"quarta das 08:00 às 10:00, semanal ; sexta das 08:00 às 10:00, quinzenal I";sexta das 10:00 às 12:00, quinzenal II;SA;diurno;3-1-4;40;1;Fernando Luis Semiao Da Silva;Fernando Luis Semiao Da Silva
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB2BCJ0205-15SA;Fenômenos Térmicos B2-noturno (Santo André);"quarta das 19:00 às 21:00, semanal ; sexta das 19:00 às 21:00, quinzenal I";sexta das 21:00 às 23:00, quinzenal II;SA;noturno;3-1-4;40;3;Felipe Chen Abrego;Felipe Chen Abrego
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB3BCJ0205-15SA;Fenômenos Térmicos B3-diurno (Santo André);"quarta das 08:00 às 10:00, semanal ; sexta das 08:00 às 10:00, quinzenal I";sexta das 10:00 às 12:00, quinzenal I;SA;diurno;3-1-4;40;1;German Lugones;German Lugones
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB4BCJ0205-15SA;Fenômenos Térmicos B4-diurno (Santo André);"quarta das 08:00 às 10:00, semanal ; sexta das 08:00 às 10:00, quinzenal I";sexta das 10:00 às 12:00, quinzenal II;SA;diurno;3-1-4;40;5;German Lugones;German Lugones
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB6BCJ0205-15SA;Fenômenos Térmicos B6-diurno (Santo André);"quarta das 08:00 às 10:00, semanal ; sexta das 08:00 às 10:00, quinzenal I";sexta das 10:00 às 12:00, quinzenal II;SA;diurno;3-1-4;40;5;Adriano Lana Cherchiglia;Adriano Lana Cherchiglia
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB6BCJ0205-15SA;Fenômenos Térmicos B6-noturno (Santo André);"quarta das 19:00 às 21:00, semanal ; sexta das 19:00 às 21:00, quinzenal I";sexta das 21:00 às 23:00, quinzenal II;SA;noturno;3-1-4;40;2;Eduardo De Moraes Gregores;Eduardo De Moraes Gregores
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB8BCJ0205-15SA;Fenômenos Térmicos B8-noturno (Santo André);"quarta das 19:00 às 21:00, semanal ; sexta das 19:00 às 21:00, quinzenal I";sexta das 21:00 às 23:00, quinzenal II;SA;noturno;3-1-4;40;4;Mauro Rogerio Cosentino;Mauro Rogerio Cosentino
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB9BCJ0205-15SA;Fenômenos Térmicos B9-noturno (Santo André);"quarta das 19:00 às 21:00, semanal ; sexta das 19:00 às 21:00, quinzenal I";sexta das 21:00 às 23:00, quinzenal I;SA;noturno;3-1-4;40;1;Regina Keiko Murakami;Regina Keiko Murakami
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BCN0402-15SA;Funções de Uma Variável A1-diurno (Santo André);"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SA;diurno;4-0-6;60;2;Luis Enrique Ramirez;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA3BCN0402-15SA;Funções de Uma Variável A3-diurno (Santo André);"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SA;diurno;4-0-6;60;5;Fedor Pisnitchenko;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA3BCN0402-15SA;Funções de Uma Variável A3-noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SA;noturno;4-0-6;63;2;Jeferson Cassiano;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA8BCN0402-15SA;Funções de Uma Variável A8-diurno (Santo André);"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, semanal";;SA;diurno;4-0-6;60;24;Welington Vieira Assuncao;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BCN0402-15SA;Funções de Uma Variável B1-diurno (Santo André);"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SA;diurno;4-0-6;60;5;Welington Vieira Assuncao;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB6BCN0402-15SA;Funções de Uma Variável B6-diurno (Santo André);"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SA;diurno;4-0-6;60;5;Norberto Anibal Maidana;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB8BCN0402-15SA;Funções de Uma Variável B8-diurno (Santo André);"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal";;SA;diurno;4-0-6;60;44;Leandro Baroni;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BIN0406-15SA;Introdução à Probabilidade e à Estatística A1-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal II";;SA;noturno;3-0-4;60;3;Antonio Sergio Munhoz;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BIN0406-15SA;Introdução à Probabilidade e à Estatística A2-diurno (Santo André);"terça das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, quinzenal II";;SA;diurno;3-0-4;60;12;Roberto Venegeroles Nascimento;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA2BIN0406-15SA;Introdução à Probabilidade e à Estatística A2-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal II";;SA;noturno;3-0-4;60;12;Ignat Fialkovskiy;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA4BIN0406-15SA;Introdução à Probabilidade e à Estatística A4-noturno (Santo André);"terça das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal II";;SA;noturno;3-0-4;60;9;Alexandre Hideki Okano;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB1BIN0406-15SA;Introdução à Probabilidade e à Estatística B1-diurno (Santo André);"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, quinzenal II";;SA;diurno;3-0-4;60;25;Alexandre Hideki Okano;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB1BIN0406-15SA;Introdução à Probabilidade e à Estatística B1-noturno (Santo André);"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, quinzenal II";;SA;noturno;3-0-4;60;28;Antonio Sergio Munhoz;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DB2BIN0406-15SA;Introdução à Probabilidade e à Estatística B2-diurno (Santo André);"terça das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, quinzenal II";;SA;diurno;3-0-4;60;35;Roberto Venegeroles Nascimento;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NB4BIN0406-15SA;Introdução à Probabilidade e à Estatística B4-noturno (Santo André);"terça das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, quinzenal II";;SA;noturno;3-0-4;60;4;Alexandre Hideki Okano;0
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A1-noturno (Santo André);"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal";;SA;noturno;4-0-4;60;26;Gisele Cristina Ducati;0
